,precision,recall,f1-score,support
akker,0.7222222222222222,0.65,0.6842105263157895,20.0
amfitheater,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
aula,0.45454545454545453,0.23809523809523808,0.31249999999999994,21.0
auto,0.7142857142857143,0.4166666666666667,0.5263157894736842,24.0
auto_ongeluk,0.6153846153846154,0.4444444444444444,0.5161290322580646,18.0
bakkerij,0.0,0.0,0.0,3.0
basketbal_korfbal,0.8333333333333334,0.625,0.7142857142857143,8.0
begraafplaats,0.0,0.0,0.0,2.0
begrafenis,1.0,0.45454545454545453,0.625,11.0
bibliotheek_boekwinkel,0.5,0.375,0.42857142857142855,8.0
binnen_zwembad,0.6875,0.7333333333333333,0.7096774193548386,15.0
bloemen,0.5,0.5714285714285714,0.5333333333333333,7.0
bloementuin,0.6666666666666666,0.5,0.5714285714285715,8.0
borden_gevelsteen,0.5483870967741935,0.5151515151515151,0.53125,33.0
bos_park,0.4,0.4166666666666667,0.4081632653061225,24.0
boten,0.7605633802816901,0.7397260273972602,0.75,73.0
bouwplaats,0.5979381443298969,0.7295597484276729,0.6572237960339943,159.0
brand,0.803921568627451,0.803921568627451,0.8039215686274509,51.0
brug,0.5,0.5,0.5,14.0
bruiloft,0.6363636363636364,0.7,0.6666666666666666,10.0
buiten_zwembad,0.75,0.5,0.6,18.0
bus_truck,0.7142857142857143,0.6451612903225806,0.6779661016949152,31.0
cafe,0.43478260869565216,0.4166666666666667,0.425531914893617,24.0
catwalk,0.8,0.4,0.5333333333333333,10.0
circus,0.7647058823529411,0.65,0.7027027027027027,20.0
cricket,1.0,1.0,1.0,17.0
dansende_mensen,0.65,0.5416666666666666,0.5909090909090908,24.0
demonstratie,0.6363636363636364,0.7777777777777778,0.7000000000000001,27.0
dieren_overig,0.5675675675675675,0.5833333333333334,0.5753424657534246,36.0
duinen,0.5,0.2222222222222222,0.30769230769230765,18.0
eend,0.0,0.0,0.0,3.0
etalage,0.7142857142857143,0.5555555555555556,0.6250000000000001,18.0
etende_mensen,0.6571428571428571,0.6764705882352942,0.6666666666666666,34.0
fabriek,0.6491228070175439,0.7115384615384616,0.6788990825688075,52.0
fietsende_mensen,0.5,0.6333333333333333,0.5588235294117647,30.0
garage_showroom,0.8333333333333334,0.5,0.625,10.0
gebouw,0.7547169811320755,0.7692307692307693,0.7619047619047619,156.0
geestelijken,0.5,0.43478260869565216,0.46511627906976744,23.0
golf,0.0,0.0,0.0,4.0
groepsportret,0.6474820143884892,0.7086614173228346,0.6766917293233081,127.0
gymnastiek,0.6176470588235294,0.6176470588235294,0.6176470588235294,34.0
handbal,0.5,0.7142857142857143,0.588235294117647,7.0
hardlopen,0.7272727272727273,0.7272727272727273,0.7272727272727273,11.0
haven,0.5116279069767442,0.6470588235294118,0.5714285714285715,34.0
herdenking,0.42857142857142855,0.3157894736842105,0.36363636363636365,19.0
historisch_toneelstuk,0.35714285714285715,0.4166666666666667,0.3846153846153846,12.0
hockey,0.875,0.4375,0.5833333333333334,16.0
hond,0.8,0.8,0.8000000000000002,20.0
honkbal,0.8771929824561403,0.8771929824561403,0.8771929824561403,57.0
huisje,0.25,0.16666666666666666,0.2,12.0
kade,0.38461538461538464,0.3333333333333333,0.3571428571428571,15.0
kamperen,0.75,0.42857142857142855,0.5454545454545454,7.0
kantoor,0.6382978723404256,0.7894736842105263,0.7058823529411764,38.0
kapper,1.0,0.4,0.5714285714285715,5.0
kat,1.0,0.4,0.5714285714285715,5.0
kerk_binnen,0.7391304347826086,0.68,0.7083333333333334,25.0
kerk_buiten,0.7142857142857143,0.5263157894736842,0.6060606060606061,19.0
kerstmis,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0
keuken,0.55,0.6470588235294118,0.5945945945945946,17.0
klaslokaal,0.5357142857142857,0.5357142857142857,0.5357142857142857,28.0
koe,0.8333333333333334,0.7142857142857143,0.7692307692307692,7.0
konijn,0.5,0.25,0.3333333333333333,4.0
kunstwerk,0.6875,0.6111111111111112,0.6470588235294118,54.0
luchtfoto,1.0,0.7,0.8235294117647058,10.0
maquette,0.8,0.6666666666666666,0.7272727272727272,6.0
markt,0.4411764705882353,0.5,0.46875,30.0
mensen_op_een_boot,0.4117647058823529,0.4666666666666667,0.43749999999999994,15.0
mensen_op_trap,1.0,0.4444444444444444,0.6153846153846153,9.0
mensenmassa,0.34408602150537637,0.5161290322580645,0.4129032258064516,62.0
militair,0.7,0.7,0.7,10.0
motorfiets,0.5555555555555556,0.5,0.5263157894736842,10.0
muziek_optreden,0.6842105263157895,0.7222222222222222,0.7027027027027027,90.0
ongeluk_brancard,0.3333333333333333,0.5,0.4,2.0
ontvangst_afscheid,0.3333333333333333,0.08333333333333333,0.13333333333333333,12.0
opgraving,0.6666666666666666,0.36363636363636365,0.4705882352941177,11.0
optocht,0.5555555555555556,0.6097560975609756,0.5813953488372093,41.0
paard,0.5909090909090909,0.6842105263157895,0.6341463414634148,19.0
plattegrond,1.0,0.5,0.6666666666666666,4.0
portret,0.7791044776119403,0.7885196374622356,0.7837837837837839,331.0
race,0.42857142857142855,0.42857142857142855,0.42857142857142855,7.0
roeien,0.5,0.25,0.3333333333333333,8.0
schaatsen,0.5714285714285714,0.5,0.5333333333333333,8.0
schaken_dammen,0.7692307692307693,0.7692307692307693,0.7692307692307693,26.0
scheepswerf,0.3333333333333333,0.06666666666666667,0.1111111111111111,15.0
sinterklaas,0.9117647058823529,0.6078431372549019,0.7294117647058823,51.0
slagerij,0.5454545454545454,0.75,0.631578947368421,8.0
sneeuwlandschap,0.75,0.5714285714285714,0.6486486486486486,21.0
speech,0.6388888888888888,0.4791666666666667,0.5476190476190476,48.0
speeltuin,0.5,0.5,0.5,18.0
sport_overig,0.7333333333333333,0.3548387096774194,0.47826086956521735,31.0
standbeeld,0.5277777777777778,0.6785714285714286,0.5937499999999999,28.0
straat,0.41566265060240964,0.6831683168316832,0.5168539325842697,101.0
strand,0.6444444444444445,0.7631578947368421,0.6987951807228916,38.0
tafel_tennis,1.0,0.75,0.8571428571428571,4.0
tentoonstelling,0.5882352941176471,0.4,0.4761904761904762,50.0
terras,0.6666666666666666,0.7272727272727273,0.6956521739130435,11.0
theater,0.5,0.6206896551724138,0.5538461538461539,29.0
toren,0.8888888888888888,0.5333333333333333,0.6666666666666667,15.0
tram,0.16666666666666666,0.5,0.25,2.0
trein,0.7142857142857143,1.0,0.8333333333333333,5.0
trein_ongeluk,1.0,0.5,0.6666666666666666,10.0
trein_station,0.6666666666666666,0.5,0.5714285714285715,4.0
uitreiking_huldiging,0.6875,0.7333333333333333,0.7096774193548386,180.0
vechtsport,0.75,0.75,0.75,4.0
vergaderruimte,0.5423728813559322,0.6530612244897959,0.5925925925925926,49.0
vijver_plas,0.16666666666666666,0.1111111111111111,0.13333333333333333,9.0
visserij,0.8333333333333334,0.5263157894736842,0.6451612903225806,19.0
vlag_hijsen,0.0,0.0,0.0,3.0
vliegtuig,0.0,0.0,0.0,1.0
voetbal,0.9,0.9700598802395209,0.9337175792507204,167.0
voetbal_team,0.95,0.9047619047619048,0.9268292682926829,21.0
vogels,1.0,0.6666666666666666,0.8,12.0
volleybal,1.0,0.6363636363636364,0.7777777777777778,11.0
waterweg,0.32,0.42105263157894735,0.3636363636363636,19.0
wielrennen,0.7857142857142857,0.6875,0.7333333333333334,16.0
windmolen,0.875,0.6363636363636364,0.7368421052631579,11.0
winkel_binnen,0.6585365853658537,0.5510204081632653,0.6,49.0
winkelstraat,0.5789473684210527,0.5,0.5365853658536586,22.0
woonkamer,0.4583333333333333,0.4230769230769231,0.43999999999999995,26.0
woonwijk,0.5,0.5675675675675675,0.5316455696202531,37.0
zaalvoetbal,1.0,0.8666666666666667,0.9285714285714286,15.0
zeepkistenrace,0.0,0.0,0.0,3.0
ziekenhuis,0.5185185185185185,0.6666666666666666,0.5833333333333334,21.0
accuracy,0.6512153759185981,0.6512153759185981,0.6512153759185981,0.6512153759185981
macro avg,0.6136109918040804,0.5376178581447555,0.5582765499655078,3538.0
weighted avg,0.6628096785976544,0.6512153759185981,0.6476435249570417,3538.0
